data;id_marca;vendas;valor_do_veiculo;nome;marca
01/01/2022;1;40;29000;Mobi;Fiat
01/01/2022;1;2;49000;argo;Fiat
01/01/2022;1;3;19000;Uno;Fiat
01/01/2022;2;35;35000;Up;Volkswagen
01/01/2022;3;42;32000;Picanto;Kia
01/01/2022;2;2;40000;Gol;Volkswagen
01/01/2022;7;4;60000;Lancer;Mitsubishi
01/01/2022;2;1;35000;Kombi;Volkswagen
01/01/2022;9;2;45200;onix;Chevrolet 
01/01/2022;10;1;270000;E-J7;JaC Motors
01/01/2022;11;5;70000;Captur;Renault
01/02/2022;1;1;8000;Palio;Fiat
01/02/2022;2;40;35000;Up;Volkswagen
01/02/2022;1;52;29000;Mobi;Fiat
01/02/2022;3;30;36000;Picanto;Kia
01/02/2022;5;15;45000;Yaris;Toyota
01/02/2022;6;2;28000;March;Nissan
01/02/2022;7;7;240000;L200;Mitsubishi
01/02/2022;2;6;30000;Gol;Volkswagen
01/02/2022;3;4;41000;Cerato;Kia
01/02/2022;10;6;145000;E-JS1;JaC Motors
01/02/2022;11;3;60000;Duster;Renault
01/03/2022;1;1;10000;Uno;Fiat
01/03/2022;2;30;35000;Up;Volkswagen
01/03/2022;3;25;145000;Picanto;Kia
01/03/2022;4;20;79000;208;Peugeot 
01/03/2022;1;30;30000;Mobi;Fiat
01/03/2022;2;1;28000;Gol;Volkswagen
01/03/2022;7;1;75000;Lancer;Mitsubishi
01/03/2022;8;2;300000;Forester;Subaru
01/03/2022;9;3;45000;onix;Chevrolet 
01/03/2022;10;5;25000;J5;JaC Motors
01/03/2022;11;1;30000;Sandero;Renault
01/04/2022;1;40;28000;Mobi;Fiat
01/04/2022;2;45;30000;Up;Volkswagen
01/04/2022;3;30;26000;Picanto;Kia
01/04/2022;4;25;85000;208;Peugeot 
01/04/2022;1;1;12000;Palio;Fiat
01/04/2022;6;5;30000;March;Nissan
01/04/2022;7;1;124000;Eclipse;Mitsubishi
01/04/2022;8;4;320000;XV;Subaru
01/04/2022;2;1;99000;Polo;Volkswagen
01/04/2022;10;1;14000;J2;JaC Motors
01/04/2022;11;5;25000;Clio;Renault
01/05/2022;1;50;25000;Mobi;Fiat
01/05/2022;2;45;29000;Up;Volkswagen
01/05/2022;3;35;19000;Picanto;Kia
01/05/2022;1;2;28000;argo;Fiat
01/05/2022;5;3;35000;Yaris;Toyota
01/05/2022;6;7;22000;March;Nissan
01/05/2022;2;2;90000;T-Cross;Volkswagen
01/05/2022;8;4;320000;Forester;Subaru
